Topic,ID,Question,Answer A,Answer B,Answer C,Answer D,Correct,Explanation
Cell Biology,10101,What is the basic unit of life?,Cell,Atom,Tissue,Organ,1,The cell is the smallest unit of life like the building block of an organism
Cell Biology,10102,Where is genetic material stored in a cell?,Cytoplasm,Cell membrane,Nucleus,Mitochondria,3,The nucleus is like the brain of the cell containing all the genetic material
Cell Biology,10103,What part of the cell controls cell activities?,Chloroplast,Nucleus,Cell wall,Ribosome,2,The nucleus acts like a control center directing the activities of the cell
Cell Biology,10104,Which organelle is the powerhouse of the cell?,Mitochondria,Chloroplast,Nucleus,Lysosome,1,The mitochondria generate energy for the cell just like a power plant
Cell Biology,10105,What structure surrounds and protects the cell?,Nucleus,Cell wall,Cell membrane,Cytoplasm,3,The cell membrane acts like a gatekeeper protecting the cell’s interior
Cell Biology,10106,What substance fills most of the cell allowing organelles to move?,Chloroplast,Cytoplasm,DNA,Cell wall,2,The cytoplasm is like the gel inside the cell where everything floats around
Cell Biology,10107,Which organelle breaks down food to release energy?,Mitochondria,Nucleus,Chloroplast,Endoplasmic reticulum,1,Mitochondria break down food to provide energy for the cell’s activities
Cell Biology,10108,Where are proteins made in the cell?,Ribosome,Nucleus,Golgi apparatus,Cell wall,1,Ribosomes are like factories where proteins are made in the cell
Cell Biology,10109,What process do cells use to divide and reproduce?,Photosynthesis,Meiosis,Mitosis,Fertilization,3,Mitosis is the process that divides a cell into two identical cells like cloning
Cell Biology,10110,What organelle stores water nutrients and waste?,Chloroplast,Vacuole,Mitochondria,Ribosome,2,The vacuole acts like a storage tank for water and waste in the cell
Cell Biology,10111,Which organelle provides structure in plant cells?,Cell wall,Ribosome,Lysosome,Nucleus,1,The cell wall provides structural support like the frame of a building
Cell Biology,10112,Where are ribosomes made?,Nucleus,Mitochondria,Cytoplasm,Vacuole,1,The nucleus makes ribosomes which are then used for protein production
Cell Biology,10113,What do you call cells without a nucleus?,Prokaryotic cells,Eukaryotic cells,Animal cells,Plant cells,1,Prokaryotic cells are simpler cells without a nucleus like bacteria
Cell Biology,10114,What is the name of the process by which plants make food?,Photosynthesis,Cellular respiration,Fermentation,Mitosis,1,Photosynthesis is the process where plants make food using sunlight
Cell Biology,10115,What is the genetic material that makes up chromosomes?,RNA,Protein,DNA,Lipid,3,DNA is the genetic code that makes up chromosomes and determines traits
Genetics,10201,What carries genetic information in the cell?,DNA,Protein,Carbohydrate,RNA,1,DNA carries the genetic code that guides the development of an organism
Genetics,10202,What are different forms of a gene called?,Alleles,Chromosomes,Gametes,Traits,1,Alleles are different versions of the same gene like variations of eye color
Genetics,10203,What term describes an organism’s observable characteristics?,Genotype,Phenotype,DNA,Allele,2,Phenotype refers to the physical traits you can see like hair color
Genetics,10204,What type of cell division produces sex cells?,Mitosis,Meiosis,Binary fission,Photosynthesis,2,Meiosis is the type of division that produces sex cells such as sperm and eggs
