Topic,ID,Question,Answer A,Answer B,Answer C,Answer D,Correct ,Explanation
Chemistry,1,"Compounds that are capable of accepting electrons, such as O2 or F2, are called what?",Residues,Antioxidants,Oxygen,Oxidants,4,"Oxidants and Reductants Compounds that are capable of accepting electrons, such as O 2 or F2, are calledoxidants (or oxidizing agents) because they can oxidize other compounds. In the process of accepting electrons, an oxidant is reduced. Compounds that are capable of donating electrons, such as sodium metal or cyclohexane (C6H12), are calledreductants (or reducing agents) because they can cause the reduction of another compound. In the process of donating electrons, a reductant is oxidized. These relationships are summarized in Equation 3.30: Equation 3.30 Saylor URL: http://www. saylor. org/books."
Chemistry,2,What kind of viscosity is found in long-chain hydrocarbons?,Intense Viscosity,Increased Viscosity,Low Viscosity,Highly Viscous,4,"There is also a correlation between viscosity and molecular shape. Liquids consisting of long, flexible molecules tend to have higher viscosities than those composed of more spherical or shorter-chain molecules. The longer the molecules, the easier it is for them to become â€œtangledâ€ with one another, making it more difficult for them to move past one another. London dispersion forces also increase with chain length. Due to a combination of these two effects, long-chain hydrocarbons (such as motor oils) are highly viscous."
Chemistry,3,Ionic compounds have strong electrostatic attractions between oppositely charged ions in this?,Occasional Array,Incorrect Array,Normal Array,Regular Array,4,"Ionic compounds have strong electrostatic attractions between oppositely charged ions in a regular array. The lattice energy (U) of an ionic substance is defined as the energy required to dissociate the solid into gaseous ions; U can be calculated from the charges on the ions, the arrangement of the ions in the solid, and the internuclear distance. Because U depends on the product of the ionic charges, substances with dior tripositive cations and/or di- or trinegative anions tend to have higher lattice energies than their singly charged counterparts. Higher lattice energies typically result in higher melting points and increased hardnessbecause more thermal energy is needed to overcome the forces that hold the ions together. Lattice energies cannot be measured directly but are obtained from a thermochemical cycle called the Bornâ€“Haber cycle, in which Hessâ€™s law is used to calculate the lattice energy from the measured enthalpy of formation of the ionic compound, along with other thermochemical data. The Bornâ€“Haber cycle can be used to predict which ionic compounds are likely to form. Sublimation, the conversion of a solid directly to a gas, has an accompanying enthalpy change called the enthalpy of sublimation."
Chemistry,4,How does a neon light produce visible light?,Mitosis,Luminescence,Radiation,Electroluminescence,4,"A neon light produces visible light by electroluminescence. The bulb is a glass tube that contains the noble gas neon. When electricity passes through the gas, it excites electrons of neon atoms, causing them to give off visible light. Neon produces red light. Other noble gases are also used in lights, and they produce light of different colors. For example, krypton produces violet light, and argon produces blue light."
Chemistry,5,What term means the amount of water vapor in the air?,Ambient,Temperature,Pressure,Humidity,4,Humidity is the amount of water vapor in the air. High humidity increases the chances of clouds and precipitation.
Chemistry,6,Where is energy stored in a chemical substance?,Inside Atoms,On The Surface,In Molecules,Between Atoms,4,energy that is stored in the connections between atoms in a chemical substance.
Chemistry,7,What is heat energy measured in? ,Thermals,Amps,Amperes,Joules,4,Chemical reactions involve a transfer of heat energy. Measured in joules.
Chemistry,8,The strength of a base depends on the concentration of _______ it produces when dissolved in water. ,Monoxide Ions,Combustion Ions,Calcium Ions,Hydroxide Ions,4,"The strength of a base depends on the concentration of hydroxide ions it produces when dissolved in water. For example, sodium hydroxide completely breaks down into ions in water, so it is a strong base. However, only a fraction of ammonia breaks down into ions, so it is a weak base."
Chemistry,9,Ibuprofen and albuterol are examples of drugs whose _________ have different effects.,Analogous,Nanoparticles,Misnomers,Enantiomers,4,
Chemistry,10,What type of bonds are formed by the side-to-side overlap of p orbitals?,Theta Bonds,Sigma Bonds,Omega Bonds,Pi Bonds,4,Sigma bonds are formed by the end-to-end overlap of bonding orbitals. Pi bonds are formed by the side-to-side overlap of p orbitals. Single bonds are normally sigma bonds. A double or triple bond consists of one sigma bond and either one or two pi bonds.
Chemistry,11,The temperature at which a substance melts is called its ______ point. ,Freezing,Boiling,Change,Melting,4,"The temperature at which a substance melts is called its melting point. Melting point is a physical property of matter. The gold pictured in the Figure above , for example, has a melting point of 1064Â°C. This is a high melting point, and most other metals also have high melting points. The melting point of ice, in comparison, is much lower at 0Â°C. Many substances have even lower melting points. For example, the melting point of oxygen is -222Â°C."
Chemistry,12,"When equal amounts of a strong acid such as hydrochloric acid are mixed with a strong base such as sodium hydroxide, the result is what kind of solution?",A Thermodynamic One,A Economical One,A Lateral One,A Neutral One,4,"When equal amounts of a strong acid such as hydrochloric acid are mixed with a strong base such as sodium hydroxide, the result is a neutral solution. The products of the reaction do not have the characteristics of either an acid or a base. Here is the balanced molecular equation."
Chemistry,13,What is the electrode at which oxidation occurs called? ,Calomel,Diode,Cathode,The Anode,4,"The electrode at which oxidation occurs is called the anode . The zinc anode gradually diminishes as the cell operates due to the loss of zinc metal. The zinc ion concentration in the half-cell increases. Because of the production of electrons at the anode, it is labeled as the negative electrode."
Chemistry,14,What is required to move or change matter from one state to another?,Evolution,Food,Gravity,Energy,4,"Energy provides the ability to move or change matter from one state to another (for example, from solid to liquid). Every living thing needs energy to live and grow. Your body gets its energy from food, but that is only a small part of the energy you use every day. Cooking your food takes energy, and so does keeping it cold in the refrigerator or the freezer. The same is true for heating or cooling your home. Whether you are turning on a light in the kitchen or riding in a car to school, you are using energy. Billions of people all around the world use energy, so there is a huge demand for resources to provide all of this energy. Why do we need so much energy? The main reason is that almost everything that happens on Earth involves energy."
Chemistry,15,What contains positive protons and neutral neutrons?,Epidermis,Electrons,Ions,Nucleus,4,The nucleus is at the center of the atom. It contains positive protons and neutral neutrons. Negative electrons constantly move about the nucleus.
Chemistry,16,What is natural gas predominately made up of?,Sulfur,Hydrogen,Carbon,Methane,4,Natural gas is mostly methane. Natural gas is usually found with petroleum. People prefer to burn natural gas when possible because it is relatively clean.
Chemistry,17,What unit of measurement is defined to be the number of atoms in 12g of carbon-12?,One Ohm,One Quark,One Joule,One Mole,4,"The relative scale of atomic masses in amu is also a relative scale of masses in grams. We said before that the mole is officially equal to the number of carbon atoms in exactly 12 g of carbon-12. In other words, one carbon-12 atom has a mass of exactly 12 amu, and one mole of carbon atoms has a mass of exactly 12 grams. This relationship is true for all substances. If one atom of helium has a mass of 4.00 amu, one mole of helium atoms has a mass of 4.00 g. One molecule of water has a mass of 18.0 amu, so one mole of water molecules has a mass of 18.0 grams. Molar mass is defined as the mass of one mole of representative particles of a substance. It is expressed in units of grams per mole (g/mol)."
Chemistry,18,Isotopes are named for their number of protons + _______. ,Nuclei,Isomers,Electrons,Neutrons,4,"Isotopes are named for their number of protons plus neutrons. If a carbon atom had seven neutrons, what would it be named?."
