Topic,ID,Question,Answer A,Answer B,Answer C,Answer D,Correct
Cell Biology,10101,What is the basic unit of life?,Cell,Atom,Tissue,Organ,1
Cell Biology,10102,Where is genetic material stored in a cell?,Cytoplasm,Cell membrane,Nucleus,Mitochondria,3
Cell Biology,10103,What part of the cell controls cell activities?,Chloroplast,Nucleus,Cell wall,Ribosome,2
Cell Biology,10104,Which organelle is the powerhouse of the cell?,Mitochondria,Chloroplast,Nucleus,Lysosome,1
Cell Biology,10105,What structure surrounds and protects the cell?,Nucleus,Cell wall,Cell membrane,Cytoplasm,3
Cell Biology,10106,What substance fills most of the cell allowing organelles to move?,Chloroplast,Cytoplasm,DNA,Cell wall,2
Cell Biology,10107,Which organelle breaks down food to release energy?,Mitochondria,Nucleus,Chloroplast,Endoplasmic reticulum,1
Cell Biology,10108,Where are proteins made in the cell?,Ribosome,Nucleus,Golgi apparatus,Cell wall,1
Cell Biology,10109,What process do cells use to divide and reproduce?,Photosynthesis,Meiosis,Mitosis,Fertilization,3
Cell Biology,10110,What organelle stores water nutrients, and waste?,Chloroplast,Vacuole,Mitochondria,Ribosome,2
Cell Biology,10111,Which organelle provides structure in plant cells?,Cell wall,Ribosome,Lysosome,Nucleus,1
Cell Biology,10112,Where are ribosomes made?,Nucleus,Mitochondria,Cytoplasm,Vacuole,1
Cell Biology,10113,What do you call cells without a nucleus?,Prokaryotic cells,Eukaryotic cells,Animal cells,Plant cells,1
Cell Biology,10114,What is the name of the process by which plants make food?,Photosynthesis,Cellular respiration,Fermentation,Mitosis,1
Cell Biology,10115,What is the genetic material that makes up chromosomes?,RNA,Protein,DNA,Lipid,3
